"function evaluation" "noise-free fitness - Fopt (7.948000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +4.933087254e+01 +4.933087254e+01 +1.288108725e+02 +1.288108725e+02 +1.3389e+00 +1.7630e+00 -6.0732e-01 +2.6875e+00 +3.5669e+00
3 +1.264143514e+01 +1.264143514e+01 +9.212143514e+01 +9.212143514e+01 +2.3293e+00 +1.2327e+00 -9.6153e-01 +1.4881e+00 -1.1409e+00
6 +7.828237580e+00 +7.828237580e+00 +8.730823758e+01 +8.730823758e+01 +1.9684e+00 +8.9749e-01 +1.9216e-02 +1.6012e+00 -2.7622e+00
61 +3.258800703e+00 +3.258800703e+00 +8.273880070e+01 +8.273880070e+01 +1.6141e+00 -1.7820e+00 -1.5929e+00 +2.2630e+00 -2.2981e+00
616 +2.432049388e+00 +2.432049388e+00 +8.191204939e+01 +8.191204939e+01 -1.3876e-01 -1.4241e+00 -2.1511e+00 +1.8901e+00 -3.0922e+00
"function evaluation" "noise-free fitness - Fopt (3.944800000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +5.265644295e+01 +5.265644295e+01 +4.471364429e+02 +4.471364429e+02 -7.8488e-01 +8.5120e-01 -1.0202e+00 -6.9228e-01 +1.1449e+00
9 +3.360836191e+01 +3.360836191e+01 +4.280883619e+02 +4.280883619e+02 -2.5051e+00 -1.3842e+00 -2.0156e+00 -1.1756e+00 +1.4813e+00
41 +1.998098748e+01 +1.998098748e+01 +4.144609875e+02 +4.144609875e+02 -3.1554e+00 +1.3751e+00 -3.3817e+00 +3.6395e+00 +1.8524e+00
55 +3.753141386e+00 +3.753141386e+00 +3.982331414e+02 +3.982331414e+02 -2.3885e+00 -3.5883e+00 -3.1915e+00 +3.1372e+00 +1.0097e+00
"function evaluation" "noise-free fitness - Fopt (-2.471100000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +7.119788270e+01 +7.119788270e+01 -1.759121173e+02 -1.759121173e+02 +6.1616e-01 +2.0689e-01 -1.5161e+00 +3.1485e-01 +2.8152e+00
2 +2.731101662e+01 +2.731101662e+01 -2.197989834e+02 -2.197989834e+02 -1.9674e+00 +2.4799e+00 -4.3714e-01 +5.4320e-01 -3.9827e+00
8 +1.587531039e+01 +1.587531039e+01 -2.312346896e+02 -2.312346896e+02 -1.8849e+00 +2.2269e+00 +1.3443e+00 -1.7080e+00 -3.3050e+00
26 +1.540882274e+01 +1.540882274e+01 -2.317011773e+02 -2.317011773e+02 -2.7758e+00 +3.3934e+00 +5.7241e-01 -2.2760e+00 -3.8649e+00
76 +8.192010134e+00 +8.192010134e+00 -2.389179899e+02 -2.389179899e+02 -3.2771e+00 +2.4095e-01 +1.3401e+00 -2.7349e+00 -1.4027e+00
211 +3.849645797e+00 +3.849645797e+00 -2.432603542e+02 -2.432603542e+02 -3.3745e+00 -5.1689e-01 -2.0670e+00 -3.6790e+00 -1.9774e+00
"function evaluation" "noise-free fitness - Fopt (-1.520400000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +6.030578648e+01 +6.030578648e+01 -9.173421352e+01 -9.173421352e+01 -1.4311e+00 +1.9166e+00 -8.4958e-01 -3.6501e+00 +3.4155e+00
9 +3.488712733e+01 +3.488712733e+01 -1.171528727e+02 -1.171528727e+02 +1.7238e+00 +1.6209e+00 -5.7654e-01 +2.4879e+00 -1.9419e+00
18 +1.243696354e+01 +1.243696354e+01 -1.396030365e+02 -1.396030365e+02 +1.4260e-01 -1.0453e+00 -2.3035e+00 +1.5048e+00 +2.9953e+00
33 +4.165295428e+00 +4.165295428e+00 -1.478747046e+02 -1.478747046e+02 -5.0305e-01 +3.2043e+00 -3.8903e+00 +2.6739e+00 +3.1615e+00
"function evaluation" "noise-free fitness - Fopt (-2.525000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +1.550299537e+01 +1.550299537e+01 -9.747004633e+00 -9.747004633e+00 +6.1616e-01 +2.0689e-01 -1.5161e+00 +3.1485e-01 +2.8152e+00
20 +8.549077470e+00 +8.549077470e+00 -1.670092253e+01 -1.670092253e+01 +3.2380e+00 +7.6340e-01 +1.3227e+00 -1.3154e+00 +2.8986e+00
373 +2.894858833e+00 +2.894858833e+00 -2.235514117e+01 -2.235514117e+01 +3.4774e+00 -1.7845e-01 -7.1889e-01 -1.8244e+00 +2.0270e+00
"function evaluation" "noise-free fitness - Fopt (-2.017200000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +9.703854760e+01 +9.703854760e+01 -1.046814524e+02 -1.046814524e+02 +1.8553e+00 +3.0667e+00 -3.9901e+00 -2.2432e+00 -2.5078e+00
2 +3.124173018e+00 +3.124173018e+00 -1.985958270e+02 -1.985958270e+02 -2.8135e+00 -3.9761e+00 -9.4258e-01 +2.2143e+00 +1.8550e+00
475 +1.583589076e+00 +1.583589076e+00 -2.001364109e+02 -2.001364109e+02 -1.6258e+00 -3.9065e+00 -8.6568e-01 +1.7768e+00 +2.4854e+00
"function evaluation" "noise-free fitness - Fopt (-1.000000000000e+03)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +5.033440600e+01 +5.033440600e+01 -9.496655940e+02 -9.496655940e+02 -1.4313e+00 -1.7855e+00 +8.5609e-01 -1.3440e+00 -2.8467e+00
2 +1.889937663e+01 +1.889937663e+01 -9.811006234e+02 -9.811006234e+02 -6.4134e-02 +1.5900e+00 +4.1353e-01 -3.8735e+00 +2.3407e+00
15 +1.344411488e+01 +1.344411488e+01 -9.865558851e+02 -9.865558851e+02 -7.5546e-01 -2.0279e+00 +2.6477e+00 -4.6369e-01 +3.6238e+00
